datetime,PRECTOTCORR,discharge_cfs
05-08-2008,2.66,77.1
06-08-2008,0.2,67.4
07-08-2008,13.47,65.6
08-08-2008,0.93,76.8
09-08-2008,0,65.5
10-08-2008,1.22,62.2
11-08-2008,12.04,71.6
12-08-2008,49.05,107
13-08-2008,3.94,385
14-08-2008,0.02,261
15-08-2008,14.05,161
16-08-2008,8.09,125
17-08-2008,4.55,215
18-08-2008,1.82,240
19-08-2008,15.98,174
20-08-2008,11.22,190
21-08-2008,4.04,173
22-08-2008,0.24,146
23-08-2008,26.78,164
24-08-2008,29.62,292
25-08-2008,16.18,431
26-08-2008,1.19,653
27-08-2008,0.01,768
28-08-2008,2.26,521
29-08-2008,0.01,321
30-08-2008,2.26,221
31-08-2008,6.19,166
01-09-2008,28.77,158
02-09-2008,42.01,3070
03-09-2008,3.69,7830
04-09-2008,9.29,7040
05-09-2008,7.98,6650
06-09-2008,0.17,4160
07-09-2008,0,2810
08-09-2008,6.34,1530
09-09-2008,3.48,1200
10-09-2008,0.21,832
11-09-2008,1.82,676
12-09-2008,1.19,528
13-09-2008,0.65,426
14-09-2008,7.2,359
15-09-2008,0.4,318
16-09-2008,0,288
17-09-2008,0,263
18-09-2008,0.14,243
19-09-2008,11.56,230
20-09-2008,10.99,245
21-09-2008,0.29,537
22-09-2008,0,1730
23-09-2008,0,1250
24-09-2008,0,589
25-09-2008,0.01,361
26-09-2008,0,282
27-09-2008,0.01,237
28-09-2008,0.01,206
29-09-2008,0,185
30-09-2008,0,169
01-10-2008,0,157
02-10-2008,0.01,146
03-10-2008,0,138
04-10-2008,0,131
05-10-2008,0,126
06-10-2008,1.75,121
07-10-2008,23.38,122
08-10-2008,2.49,138
09-10-2008,0.01,289
10-10-2008,0,242
11-10-2008,0.02,220
12-10-2008,0.06,173
13-10-2008,0.09,148
14-10-2008,0,133
15-10-2008,0,124
16-10-2008,0.17,118
17-10-2008,9.2,121
18-10-2008,0,128
19-10-2008,0,122
20-10-2008,0,114
21-10-2008,0,109
22-10-2008,3.06,105
23-10-2008,2.84,106
24-10-2008,3.62,112
25-10-2008,0.03,118
26-10-2008,0,113
27-10-2008,0,105
28-10-2008,0,99.5
29-10-2008,0,96.1
30-10-2008,0,95.2
31-10-2008,0,95.5
01-11-2008,0,94.8
02-11-2008,0,93.8
03-11-2008,0,92.3
04-11-2008,0,91.6
05-11-2008,0,91.2
06-11-2008,0.47,90.4
07-11-2008,1.7,90.3
08-11-2008,0,88.4
09-11-2008,0,86.5
10-11-2008,0,85.3
11-11-2008,0.08,85.3
12-11-2008,13.65,97
13-11-2008,1,148
14-11-2008,4.81,133
15-11-2008,0.96,124
16-11-2008,0,129
17-11-2008,0,123
18-11-2008,0,113
19-11-2008,0,107
20-11-2008,0,102
21-11-2008,0,98.8
22-11-2008,0.04,97.4
23-11-2008,0.15,98.1
24-11-2008,10.58,102
25-11-2008,0,114
26-11-2008,0,128
27-11-2008,4.1,128
28-11-2008,59.04,180
29-11-2008,13.51,3090
30-11-2008,3.63,2930
01-12-2008,0.01,2030
02-12-2008,0,1300
03-12-2008,1.22,627
04-12-2008,23.49,514
05-12-2008,0,741
06-12-2008,0,930
07-12-2008,0,752
08-12-2008,0,530
09-12-2008,27.08,424
10-12-2008,19.71,3550
11-12-2008,44.73,8320
12-12-2008,0,10200
13-12-2008,0.04,11500
14-12-2008,1.02,10100
15-12-2008,12.85,4970
16-12-2008,7.02,2860
17-12-2008,0.95,2760
18-12-2008,0.12,2680
19-12-2008,0.01,2220
20-12-2008,0.21,1380
21-12-2008,0.29,949
22-12-2008,0,774
23-12-2008,0.15,654
24-12-2008,9.68,587
25-12-2008,2.16,561
26-12-2008,0.08,687
27-12-2008,4.19,979
28-12-2008,8.36,901
29-12-2008,1.92,1060
30-12-2008,0,1370
31-12-2008,0,1060
01-01-2009,0.02,728
02-01-2009,1.44,593
03-01-2009,11.93,567
04-01-2009,5.82,736
05-01-2009,12.78,1530
06-01-2009,39.94,2220
07-01-2009,0.37,5990
08-01-2009,0,6180
09-01-2009,0.06,7650
10-01-2009,10.81,4910
11-01-2009,0.19,2820
12-01-2009,0,1850
13-01-2009,0,1130
14-01-2009,0,881
15-01-2009,0,738
16-01-2009,0,642
17-01-2009,0.33,578
18-01-2009,3.57,558
19-01-2009,0,580
20-01-2009,0,546
21-01-2009,0,494
22-01-2009,0,457
23-01-2009,0.32,436
24-01-2009,3.58,425
25-01-2009,0.11,425
26-01-2009,0.02,424
27-01-2009,1.11,415
28-01-2009,4.51,419
29-01-2009,0,448
30-01-2009,0,450
31-01-2009,0,425
01-02-2009,0.28,399
02-02-2009,17.39,463
03-02-2009,0,844
04-02-2009,0,755
05-02-2009,0,624
06-02-2009,0,505
07-02-2009,0,436
08-02-2009,0,399
09-02-2009,0.24,380
10-02-2009,2.32,380
11-02-2009,4.58,435
12-02-2009,0,445
13-02-2009,38.04,547
14-02-2009,3.56,3500
15-02-2009,0.57,4280
16-02-2009,0,4030
17-02-2009,0.41,2770
18-02-2009,4.95,1450
19-02-2009,0,912
20-02-2009,0,765
21-02-2009,1.57,663
22-02-2009,0.02,594
23-02-2009,0,535
24-02-2009,0,485
25-02-2009,0,454
26-02-2009,0.35,430
27-02-2009,5.05,409
28-02-2009,5.16,402
01-03-2009,0.89,499
02-03-2009,0,541
03-03-2009,0,532
04-03-2009,0,444
05-03-2009,0,393
06-03-2009,0,363
07-03-2009,0,345
08-03-2009,0.01,338
09-03-2009,0,325
10-03-2009,0,312
11-03-2009,0,301
12-03-2009,0.49,288
13-03-2009,17.59,282
14-03-2009,35.43,507
15-03-2009,13.75,2440
16-03-2009,15.65,4460
17-03-2009,0.05,5090
18-03-2009,0,4250
19-03-2009,0,2940
20-03-2009,0,1570
21-03-2009,0,855
22-03-2009,0,654
23-03-2009,0,553
24-03-2009,3.22,493
25-03-2009,56.86,1200
26-03-2009,24.31,5340
27-03-2009,61.22,9900
28-03-2009,23.34,14400
29-03-2009,0,18700
30-03-2009,0,17900
31-03-2009,4.81,10900
01-04-2009,0.02,4360
02-04-2009,9.07,2740
03-04-2009,0.01,2230
04-04-2009,0.01,2550
05-04-2009,2.56,2100
06-04-2009,0,1320
07-04-2009,0,1000
08-04-2009,0,852
09-04-2009,0.02,751
10-04-2009,0.14,681
11-04-2009,0,618
12-04-2009,25.14,610
13-04-2009,41.43,3280
14-04-2009,0.17,2640
15-04-2009,0,2440
16-04-2009,0,1560
17-04-2009,0.41,935
18-04-2009,1.12,732
19-04-2009,7.2,662
20-04-2009,0.02,629
21-04-2009,0.08,575
22-04-2009,0.03,519
23-04-2009,0,471
24-04-2009,0,434
25-04-2009,0,404
26-04-2009,0,379
27-04-2009,0,359
28-04-2009,0.8,343
29-04-2009,0,328
30-04-2009,1.24,319
01-05-2009,0.02,312
02-05-2009,0.47,303
03-05-2009,23.13,300
04-05-2009,18.14,414
05-05-2009,2.66,444
06-05-2009,14.57,413
07-05-2009,6.35,523
08-05-2009,0,579
09-05-2009,1.52,503
10-05-2009,20.73,422
11-05-2009,3.07,606
12-05-2009,3.92,702
13-05-2009,3.41,770
14-05-2009,1.61,802
15-05-2009,1.63,718
16-05-2009,15.38,462
17-05-2009,17.52,725
18-05-2009,0,1020
19-05-2009,0,915
20-05-2009,0,592
21-05-2009,1.17,396
22-05-2009,9.67,322
23-05-2009,37.69,425
24-05-2009,13.19,848
25-05-2009,10.07,2450
26-05-2009,4.72,4670
27-05-2009,2.83,4510
28-05-2009,0.32,4170
29-05-2009,0,2420
30-05-2009,0,884
31-05-2009,0,541
01-06-2009,0.05,423
02-06-2009,0.01,357
03-06-2009,0.18,312
04-06-2009,21.9,310
05-06-2009,0.61,842
06-06-2009,0,1520
07-06-2009,0,1310
08-06-2009,0,776
09-06-2009,0,507
10-06-2009,0,342
11-06-2009,0,283
12-06-2009,0.31,250
13-06-2009,1.17,229
14-06-2009,0.08,211
15-06-2009,0,198
16-06-2009,0,186
17-06-2009,0,175
18-06-2009,0,166
19-06-2009,0,158
20-06-2009,0,149
21-06-2009,0,143
22-06-2009,0,137
23-06-2009,1.07,130
24-06-2009,0,123
25-06-2009,0.13,117
26-06-2009,0.02,113
27-06-2009,0.04,109
28-06-2009,0.69,105
29-06-2009,0.22,101
30-06-2009,0,96.1
01-07-2009,0.03,93.3
02-07-2009,0.03,91.1
03-07-2009,0,89.2
04-07-2009,0.18,87.7
05-07-2009,5.2,85.7
06-07-2009,15.45,89
07-07-2009,2.62,96.9
08-07-2009,0.36,117
09-07-2009,0,107
10-07-2009,0,95.7
11-07-2009,0.74,91.5
12-07-2009,13.73,92.1
13-07-2009,7.78,95.2
14-07-2009,2.17,128
15-07-2009,1.99,117
16-07-2009,10.9,119
17-07-2009,1.18,129
18-07-2009,0.01,151
19-07-2009,0,111
20-07-2009,0,98.3
21-07-2009,5.77,95.7
22-07-2009,6.91,101
23-07-2009,0.09,119
24-07-2009,0,128
25-07-2009,0,115
26-07-2009,1.4,105
27-07-2009,5,102
28-07-2009,15.83,124
29-07-2009,9.35,117
30-07-2009,8.88,129
31-07-2009,11.61,143
01-08-2009,7.33,197
02-08-2009,5.45,211
03-08-2009,0.91,200
04-08-2009,0.09,164
05-08-2009,0.1,156
06-08-2009,0.08,124
07-08-2009,0.01,117
08-08-2009,2.65,106
09-08-2009,7.19,104
10-08-2009,1.79,102
11-08-2009,3.75,107
12-08-2009,0.79,104
13-08-2009,0.74,109
14-08-2009,0.42,105
15-08-2009,0.05,94.6
16-08-2009,1.36,91.5
17-08-2009,0.44,87.3
18-08-2009,8.17,88.2
19-08-2009,4.14,87.4
20-08-2009,14.05,86.6
21-08-2009,24.04,118
22-08-2009,0.33,237
23-08-2009,0.01,144
24-08-2009,0,119
25-08-2009,0,105
26-08-2009,0.01,98
27-08-2009,0.43,93.1
28-08-2009,0.12,90.9
29-08-2009,5.98,86.6
30-08-2009,9.9,83.6
31-08-2009,0.05,108
01-09-2009,0.12,105
02-09-2009,1.63,98.4
03-09-2009,0.09,89
04-09-2009,2.3,85.4
05-09-2009,7.93,83.2
06-09-2009,9.03,88.2
07-09-2009,0.88,110
08-09-2009,0.5,95.3
09-09-2009,0.84,89.3
10-09-2009,7.26,83.7
11-09-2009,2.21,84.1
12-09-2009,5.03,91.1
13-09-2009,11.08,94.8
14-09-2009,11.17,115
15-09-2009,17.23,114
16-09-2009,14.82,110
17-09-2009,11.11,279
18-09-2009,19.64,278
19-09-2009,5.88,384
20-09-2009,3.05,265
21-09-2009,5.17,208
22-09-2009,30.19,163
23-09-2009,11.67,199
24-09-2009,0.8,560
25-09-2009,7.12,759
26-09-2009,14.19,655
27-09-2009,0.01,475
28-09-2009,0,309
29-09-2009,0,233
30-09-2009,0,196
01-10-2009,0.97,173
02-10-2009,15.85,196
03-10-2009,0.02,230
04-10-2009,14.7,226
05-10-2009,4.19,346
06-10-2009,3.14,559
07-10-2009,3.45,745
08-10-2009,0.2,503
09-10-2009,5.87,372
10-10-2009,1.48,304
11-10-2009,2.49,262
12-10-2009,16.56,249
13-10-2009,18.25,504
14-10-2009,12.78,1450
15-10-2009,9.02,2480
16-10-2009,0.42,2930
17-10-2009,0,2080
18-10-2009,0,1100
19-10-2009,0,566
20-10-2009,0,427
21-10-2009,0,352
22-10-2009,5.02,305
23-10-2009,3.8,299
24-10-2009,0,293
25-10-2009,0,274
26-10-2009,0.26,261
27-10-2009,5.65,254
28-10-2009,0.08,265
29-10-2009,2.13,256
30-10-2009,17.24,257
31-10-2009,7.91,507
01-11-2009,0,926
02-11-2009,0,1220
03-11-2009,0,845
04-11-2009,0,442
05-11-2009,0,308
06-11-2009,0,244
07-11-2009,0,210
08-11-2009,0.02,191
09-11-2009,14.21,176
10-11-2009,26.15,199
11-11-2009,0,253
12-11-2009,0,236
13-11-2009,0,211
14-11-2009,0,195
15-11-2009,0,183
16-11-2009,3.88,170
17-11-2009,0.15,166
18-11-2009,0,165
19-11-2009,0,163
20-11-2009,0,163
21-11-2009,4.76,163
22-11-2009,3.41,185
23-11-2009,0.1,196
24-11-2009,0,187
25-11-2009,0,180
26-11-2009,0,174
27-11-2009,0,165
28-11-2009,0,158
29-11-2009,0.39,155
30-11-2009,9.47,164
01-12-2009,15.92,191
02-12-2009,15.17,340
03-12-2009,0,471
04-12-2009,3.56,570
05-12-2009,0.07,470
06-12-2009,0.21,348
07-12-2009,10.78,332
08-12-2009,29.69,561
09-12-2009,2.65,925
10-12-2009,0,2180
11-12-2009,1.27,3130
12-12-2009,32.93,3190
13-12-2009,15.31,3410
14-12-2009,33.36,3030
15-12-2009,23.53,6120
16-12-2009,0,6920
17-12-2009,23.3,6040
18-12-2009,29.79,7250
19-12-2009,0,6790
20-12-2009,0,5340
21-12-2009,0,3790
22-12-2009,0,2210
23-12-2009,0.74,1210
24-12-2009,33.97,1290
25-12-2009,0.12,3750
26-12-2009,0,4140
27-12-2009,0.01,3500
28-12-2009,0,2390
29-12-2009,0,1250
30-12-2009,15.54,911
31-12-2009,1.12,1240
01-01-2010,2.63,1350
02-01-2010,0,1360
03-01-2010,0,1060
04-01-2010,0,853
05-01-2010,0,719
06-01-2010,0,637
07-01-2010,6.88,601
08-01-2010,0,665
09-01-2010,0,656
10-01-2010,0,616
11-01-2010,0,573
12-01-2010,0,521
13-01-2010,0,503
14-01-2010,0,481
15-01-2010,1.02,463
16-01-2010,11.14,458
17-01-2010,0.47,567
18-01-2010,0,650
19-01-2010,0,702
20-01-2010,26.86,656
21-01-2010,18.71,2870
22-01-2010,0,4970
23-01-2010,4.91,5080
24-01-2010,20.16,4420
25-01-2010,0.05,2960
26-01-2010,0,2410
27-01-2010,0,1510
28-01-2010,0,942
29-01-2010,19.55,788
30-01-2010,1.44,2040
31-01-2010,0,3480
01-02-2010,1.23,3200
02-02-2010,0,2280
03-02-2010,0.43,1380
04-02-2010,73.12,1670
05-02-2010,3.08,7100
06-02-2010,0.01,6770
07-02-2010,0,7520
08-02-2010,0.21,5260
09-02-2010,14.29,3210
10-02-2010,0,2730
11-02-2010,1.29,2170
12-02-2010,8.79,1590
13-02-2010,0.56,1490
14-02-2010,8.12,1540
15-02-2010,1.21,2220
16-02-2010,0,2310
17-02-2010,0,1870
18-02-2010,0,1310
19-02-2010,0,1020
20-02-2010,0,870
21-02-2010,7.28,787
22-02-2010,8.56,930
23-02-2010,2.16,1400
24-02-2010,1.61,1210
25-02-2010,0,1100
26-02-2010,0.5,972
27-02-2010,2.48,866
28-02-2010,0,803
01-03-2010,23.11,735
02-03-2010,10.94,3090
03-03-2010,0.01,4560
04-03-2010,0,4320
05-03-2010,0,3160
06-03-2010,0.01,1740
07-03-2010,0,1040
08-03-2010,0,835
09-03-2010,21.46,806
10-03-2010,18.54,5020
11-03-2010,10.87,6590
12-03-2010,2.92,7000
13-03-2010,0.02,6120
14-03-2010,0,3710
15-03-2010,0,1710
16-03-2010,0.01,1070
17-03-2010,0.22,878
18-03-2010,0.01,769
19-03-2010,0,699
20-03-2010,1.8,645
21-03-2010,20.56,840
22-03-2010,0.1,1270
23-03-2010,0.01,1530
24-03-2010,0.05,1110
25-03-2010,6.04,831
26-03-2010,0.01,819
27-03-2010,0.02,964
28-03-2010,0.29,809
29-03-2010,0,644
30-03-2010,0,551
31-03-2010,0,502
01-04-2010,0,463
02-04-2010,0.49,434
03-04-2010,20.43,788
04-04-2010,1.15,1980
05-04-2010,0,2220
06-04-2010,0,1390
07-04-2010,3.33,810
08-04-2010,17.57,1000
09-04-2010,0,2010
10-04-2010,0,2100
11-04-2010,0,1290
12-04-2010,0,674
13-04-2010,0.02,528
14-04-2010,0.19,451
15-04-2010,0.01,404
16-04-2010,0,370
17-04-2010,0,344
18-04-2010,0,325
19-04-2010,0.07,306
20-04-2010,0.56,293
21-04-2010,0,284
22-04-2010,0,271
23-04-2010,10.16,263
24-04-2010,27.34,401
25-04-2010,0,726
26-04-2010,0,1020
27-04-2010,0.82,584
28-04-2010,0,384
29-04-2010,0.01,318
30-04-2010,3.14,279
01-05-2010,4.17,259
02-05-2010,25.48,300
03-05-2010,2.71,669
04-05-2010,0.02,1240
05-05-2010,0,1190
06-05-2010,0,623
07-05-2010,0.24,394
08-05-2010,3.08,314
09-05-2010,0,272
10-05-2010,0.02,245
11-05-2010,0.02,226
12-05-2010,0,211
13-05-2010,0,201
14-05-2010,0,192
15-05-2010,4.37,186
16-05-2010,24.93,258
17-05-2010,6.03,434
18-05-2010,3.44,618
19-05-2010,0.3,664
20-05-2010,28.92,413
21-05-2010,10.5,876
22-05-2010,0.13,1280
23-05-2010,0.02,1310
24-05-2010,0.7,681
25-05-2010,8.94,403
26-05-2010,0.05,354
27-05-2010,1.1,304
28-05-2010,2.48,289
29-05-2010,3.65,273
30-05-2010,4.5,239
31-05-2010,3.08,219
01-06-2010,3.51,230
02-06-2010,6,220
03-06-2010,4,211
04-06-2010,5.77,197
05-06-2010,5.39,203
06-06-2010,0.64,205
07-06-2010,0,211
08-06-2010,0.01,207
09-06-2010,0.06,178
10-06-2010,0.22,163
11-06-2010,1.43,154
12-06-2010,0.27,167
13-06-2010,0.02,156
14-06-2010,0.03,143
15-06-2010,13.21,140
16-06-2010,1.32,319
17-06-2010,5.39,215
18-06-2010,1.2,303
19-06-2010,7.97,231
20-06-2010,0,270
21-06-2010,0.31,200
22-06-2010,3.14,173
23-06-2010,3.69,165
24-06-2010,0.11,228
25-06-2010,1.13,181
26-06-2010,0.13,147
27-06-2010,0.06,132
28-06-2010,4.17,123
29-06-2010,5.14,122
30-06-2010,18.94,117
01-07-2010,2.76,122
02-07-2010,1.13,172
03-07-2010,0.02,295
04-07-2010,0,309
05-07-2010,6.92,221
06-07-2010,7.9,184
07-07-2010,0.98,175
08-07-2010,0.85,159
09-07-2010,8.05,143
10-07-2010,1.24,135
11-07-2010,1.53,129
12-07-2010,0.11,121
13-07-2010,0.02,119
14-07-2010,1.79,111
15-07-2010,0.81,104
16-07-2010,15.02,105
17-07-2010,8.2,113
18-07-2010,12.48,106
19-07-2010,1.17,133
20-07-2010,1.84,198
21-07-2010,0.11,186
22-07-2010,0,165
23-07-2010,0.03,132
24-07-2010,7.05,115
25-07-2010,4.14,109
26-07-2010,6.01,107
27-07-2010,9.48,112
28-07-2010,2.44,141
29-07-2010,0.72,169
30-07-2010,0.63,154
31-07-2010,0.08,155
01-08-2010,0.01,133
02-08-2010,1.42,113
03-08-2010,4.08,100
04-08-2010,8.29,96.1
05-08-2010,6.89,93
06-08-2010,0.58,247
07-08-2010,3.61,202
08-08-2010,5.79,163
09-08-2010,1.95,164
10-08-2010,2.34,122
11-08-2010,0.03,106
12-08-2010,2.54,96.6
13-08-2010,20.07,144
14-08-2010,10.12,243
15-08-2010,10.5,356
16-08-2010,4.36,331
17-08-2010,10.29,228
18-08-2010,9.73,300
19-08-2010,11.7,439
20-08-2010,1.18,1240
21-08-2010,1.24,1990
22-08-2010,16.91,2090
23-08-2010,0.14,707
24-08-2010,0,719
25-08-2010,0,936
26-08-2010,0.01,402
27-08-2010,5.24,282
28-08-2010,8.71,248
29-08-2010,6.9,225
30-08-2010,10.14,213
31-08-2010,0.27,235
01-09-2010,0.02,214
02-09-2010,0.02,190
03-09-2010,0.62,175
04-09-2010,0,162
05-09-2010,0,151
06-09-2010,0.02,141
07-09-2010,0.02,136
08-09-2010,0.01,131
09-09-2010,0.01,128
10-09-2010,0,124
11-09-2010,0.47,122
12-09-2010,0.02,120
13-09-2010,0,114
14-09-2010,0.01,109
15-09-2010,0.14,105
16-09-2010,0,105
17-09-2010,0.03,102
18-09-2010,0.55,98.1
19-09-2010,0.85,96.3
20-09-2010,0.28,96.9
21-09-2010,0.01,94.3
22-09-2010,0.39,93.5
23-09-2010,0,96.9
24-09-2010,0.02,103
25-09-2010,1.9,91.4
26-09-2010,3.88,88.7
27-09-2010,0.02,90.5
28-09-2010,0,94.5
29-09-2010,0.02,96
30-09-2010,0.02,87.8
01-10-2010,0,82.9
02-10-2010,0,78.7
03-10-2010,0.01,76
04-10-2010,0,73
05-10-2010,0,72
06-10-2010,0,71
07-10-2010,0.02,71.7
08-10-2010,0,71.4
09-10-2010,0,70.2
10-10-2010,0,71.1
11-10-2010,0,71
12-10-2010,6.5,71
13-10-2010,0.28,75
14-10-2010,0.01,74
15-10-2010,0.01,72.7
16-10-2010,0,70.7
17-10-2010,0,70.9
18-10-2010,0,71.1
19-10-2010,1.04,71.8
20-10-2010,1.31,73.7
21-10-2010,0,74
22-10-2010,0,72.9
23-10-2010,0,72.1
24-10-2010,5.42,73
25-10-2010,2.18,74
26-10-2010,2.33,73
27-10-2010,16.71,76.1
28-10-2010,4.84,84.7
29-10-2010,0,98.1
30-10-2010,0,94.1
31-10-2010,0,86.4
01-11-2010,0.16,84
02-11-2010,17.54,87.9
03-11-2010,8.78,135
04-11-2010,5.71,172
05-11-2010,0,131
06-11-2010,0,107
07-11-2010,0,99.5
08-11-2010,0,96.4
09-11-2010,0,95
10-11-2010,0,93.9
11-11-2010,0,93.1
12-11-2010,0,92.1
13-11-2010,0.34,91.2
14-11-2010,8.17,93.4
15-11-2010,34.3,360
16-11-2010,12.26,799
17-11-2010,0,575
18-11-2010,2.12,396
19-11-2010,0,322
20-11-2010,0,277
21-11-2010,0,244
22-11-2010,0.2,219
23-11-2010,5.25,202
24-11-2010,0.47,197
25-11-2010,11.64,230
26-11-2010,11.98,291
27-11-2010,0,380
28-11-2010,0,373
29-11-2010,8.42,332
30-11-2010,15.32,364
01-12-2010,0,776
02-12-2010,0.29,1070
03-12-2010,0,964
04-12-2010,0,540
05-12-2010,0,364
06-12-2010,0,294
07-12-2010,0,254
08-12-2010,0,226
09-12-2010,0,208
10-12-2010,0,194
11-12-2010,14.03,188
12-12-2010,0.06,215
13-12-2010,0,221
14-12-2010,0,209
15-12-2010,0.05,199
16-12-2010,1.59,203
17-12-2010,1.42,198
18-12-2010,0.97,182
19-12-2010,0,183
20-12-2010,0,167
21-12-2010,0.02,154
22-12-2010,0.01,148
23-12-2010,0,141
24-12-2010,0,136
25-12-2010,6.43,135
26-12-2010,0.06,139
27-12-2010,0,142
28-12-2010,0,137
29-12-2010,1.13,133
30-12-2010,7.51,169
31-12-2010,16.83,233
01-01-2011,22.69,1030
02-01-2011,0,1600
03-01-2011,0,1780
04-01-2011,0.01,1410
05-01-2011,7.98,735
06-01-2011,0,479
07-01-2011,0,613
08-01-2011,0,544
09-01-2011,6.82,415
10-01-2011,2.25,371
11-01-2011,0.81,355
12-01-2011,0,338
13-01-2011,0,320
14-01-2011,0,308
15-01-2011,0.03,280
16-01-2011,0.65,257
17-01-2011,0.77,241
18-01-2011,8.16,231
19-01-2011,0.12,230
20-01-2011,2.28,224
21-01-2011,0.05,222
22-01-2011,0,228
23-01-2011,0,220
24-01-2011,4.86,211
25-01-2011,17.7,265
26-01-2011,0.06,493
27-01-2011,0,864
28-01-2011,0,713
29-01-2011,0,468
30-01-2011,11.53,366
31-01-2011,4.05,446
01-02-2011,24.1,1230
02-02-2011,0.02,2060
03-02-2011,4.93,1990
04-02-2011,17.77,1690
05-02-2011,0.07,1690
06-02-2011,0.08,1980
07-02-2011,0.69,1650
08-02-2011,0,942
09-02-2011,7.75,646
10-02-2011,0.17,567
11-02-2011,0,545
12-02-2011,0,507
13-02-2011,0.02,458
14-02-2011,0,407
15-02-2011,0,365
16-02-2011,0,338
17-02-2011,0,310
18-02-2011,0,295
19-02-2011,0,279
20-02-2011,0,267
21-02-2011,0,255
22-02-2011,0,245
23-02-2011,0,234
24-02-2011,4.66,219
25-02-2011,14.3,310
26-02-2011,0,506
27-02-2011,0,665
28-02-2011,2.44,509
01-03-2011,0,388
02-03-2011,0,307
03-03-2011,0,274
04-03-2011,12.93,253
05-03-2011,43.96,321
06-03-2011,0.25,1880
07-03-2011,0,2730
08-03-2011,67.18,2440
09-03-2011,50.09,13200
10-03-2011,0.01,13800
11-03-2011,0,14600
12-03-2011,0,14100
13-03-2011,0,5250
14-03-2011,17.57,2700
15-03-2011,1.94,1870
16-03-2011,0,2460
17-03-2011,0,2370
18-03-2011,0,1520
19-03-2011,0,938
20-03-2011,0,744
21-03-2011,0,620
22-03-2011,0,535
23-03-2011,0.01,480
24-03-2011,0,434
25-03-2011,0,394
26-03-2011,0.55,362
27-03-2011,1.83,343
28-03-2011,0.69,324
29-03-2011,18.24,311
30-03-2011,32.04,1170
31-03-2011,0.19,2340
01-04-2011,0.03,2950
02-04-2011,1.08,1980
03-04-2011,0,881
04-04-2011,20.76,604
05-04-2011,0,603
06-04-2011,0,647
07-04-2011,0,610
08-04-2011,0,518
09-04-2011,0,413
10-04-2011,0,351
11-04-2011,7.98,311
12-04-2011,0,305
13-04-2011,0,316
14-04-2011,0,293
15-04-2011,13.81,257
16-04-2011,0,701
17-04-2011,0.03,878
18-04-2011,0,608
19-04-2011,0.01,386
20-04-2011,6.45,302
21-04-2011,17.35,271
22-04-2011,0.11,313
23-04-2011,0.45,555
24-04-2011,0.03,619
25-04-2011,2.27,360
26-04-2011,9.62,281
27-04-2011,13.21,266
28-04-2011,0,314
29-04-2011,0.35,1350
30-04-2011,0.12,1460
01-05-2011,0,701
02-05-2011,2.35,387
03-05-2011,8.85,308
04-05-2011,0,283
05-05-2011,0.01,273
06-05-2011,0,310
07-05-2011,0,271
08-05-2011,0.01,248
09-05-2011,0,224
10-05-2011,0,206
11-05-2011,0,195
12-05-2011,0,185
13-05-2011,9.14,179
14-05-2011,0.85,189
15-05-2011,0,184
16-05-2011,0,173
17-05-2011,0,166
18-05-2011,0,162
19-05-2011,0,157
20-05-2011,0.01,153
21-05-2011,0.05,150
22-05-2011,0,146
23-05-2011,0,140
24-05-2011,0,136
25-05-2011,0.38,131
26-05-2011,6.7,131
27-05-2011,0,136
28-05-2011,0,130
29-05-2011,0,125
30-05-2011,0.72,123
31-05-2011,0,121
01-06-2011,0,121
02-06-2011,0,119
03-06-2011,0,117
04-06-2011,0.01,114
05-06-2011,0.05,112
06-06-2011,0.12,109
07-06-2011,6.49,108
08-06-2011,6.17,108
09-06-2011,0.13,113
10-06-2011,1.84,128
11-06-2011,2.46,133
12-06-2011,2.91,129
13-06-2011,3.88,133
14-06-2011,0.47,103
15-06-2011,0,90.2
16-06-2011,2.78,85.8
17-06-2011,0.25,81.3
18-06-2011,0.01,78.6
19-06-2011,0,77.1
20-06-2011,0.14,73.8
21-06-2011,26.9,83.2
22-06-2011,10.77,122
23-06-2011,3.36,133
24-06-2011,1.94,134
25-06-2011,0.17,102
26-06-2011,0,90.3
27-06-2011,0,84.4
28-06-2011,5.49,79.4
29-06-2011,0.01,77
30-06-2011,0,74.9
01-07-2011,0,73.2
02-07-2011,0.18,69.9
03-07-2011,1.67,67.6
04-07-2011,9.09,67.6
05-07-2011,20.33,116
06-07-2011,0.43,154
07-07-2011,0.16,106
08-07-2011,0.08,91.7
09-07-2011,0.01,83.9
10-07-2011,0.85,82.7
11-07-2011,6.56,81
12-07-2011,6.97,80.6
13-07-2011,13.55,91.5
14-07-2011,10.36,140
15-07-2011,3.02,138
16-07-2011,4.67,143
17-07-2011,6.59,119
18-07-2011,1.17,108
19-07-2011,0.01,105
20-07-2011,2.96,98.8
21-07-2011,7.48,93.2
22-07-2011,6.74,93.5
23-07-2011,16.46,129
24-07-2011,15.45,201
25-07-2011,14.05,283
26-07-2011,5.2,376
27-07-2011,9.68,250
28-07-2011,7.5,229
29-07-2011,4.82,207
30-07-2011,0.8,169
31-07-2011,5.89,164
01-08-2011,1.61,146
02-08-2011,0.02,125
03-08-2011,0,109
04-08-2011,8.62,98
05-08-2011,0.29,90.9
06-08-2011,2.12,85.2
07-08-2011,0.21,82.1
08-08-2011,0.11,80.7
09-08-2011,12.26,80.9
10-08-2011,3.98,105
