datetime,PRECTOTCORR_z,discharge_cfs_z
17-05-2003,1.740614311,-0.214124517
18-05-2003,0.315913832,-0.119980105
19-05-2003,0.396956151,-0.165707391
20-05-2003,1.091101232,-0.12966353
21-05-2003,0.893780803,0.103276645
22-05-2003,-0.422863251,-0.084474212
23-05-2003,-0.458099042,-0.137195083
24-05-2003,-0.453400936,-0.238871048
25-05-2003,0.528503104,-0.283522398
26-05-2003,-0.022349761,-0.290515983
27-05-2003,-0.381754828,-0.281908494
28-05-2003,-0.453400936,-0.274376941
29-05-2003,-0.455749989,-0.299123472
30-05-2003,-0.458099042,-0.315800483
31-05-2003,-0.448702831,-0.327097812
01-06-2003,-0.397023671,-0.335705301
02-06-2003,0.593102054,-0.341084982
03-06-2003,1.159223761,-0.299123472
04-06-2003,-0.45222641,-0.249092442
05-06-2003,-0.354740722,-0.262541644
06-06-2003,1.661921044,-0.23833308
07-06-2003,-0.036444077,-0.184536273
08-06-2003,-0.449877357,-0.230801527
09-06-2003,-0.43930662,-0.278142718
10-06-2003,-0.213797558,-0.309882834
11-06-2003,1.438761035,-0.324407972
12-06-2003,1.861590526,-0.30826893
13-06-2003,2.780070142,-0.253934154
14-06-2003,1.270803765,-0.074252818
15-06-2003,0.402828783,-0.006468841
16-06-2003,-0.105741133,0.313084193
17-06-2003,0.81391301,0.409918446
18-06-2003,-0.290141772,0.479854295
19-06-2003,1.388256402,0.463715253
20-06-2003,-0.111613765,0.619725994
21-06-2003,-0.145675029,0.345362277
22-06-2003,-0.404070829,0.103276645
23-06-2003,-0.454575463,-0.166245359
24-06-2003,-0.317155878,-0.253934154
25-06-2003,-0.368835038,-0.287826143
26-06-2003,-0.122184502,-0.30826893
27-06-2003,2.589796872,-0.319028291
28-06-2003,0.076310454,-0.257699931
29-06-2003,2.245660647,-0.035519117
30-06-2003,4.528517068,-0.053810032
01-07-2003,1.220299132,0.555169825
02-07-2003,-0.058760078,1.26528768
03-07-2003,0.196112143,1.588068523
04-07-2003,0.936063752,1.738699583
05-07-2003,1.362416822,1.846293197
06-07-2003,-0.112788291,1.27066736
07-07-2003,0.185541405,0.764977373
08-07-2003,-0.214972085,0.253907705
09-07-2003,-0.318330405,-0.030139437
10-07-2003,-0.09047229,-0.134505243
11-07-2003,0.621290686,-0.142574764
12-07-2003,-0.113962817,-0.108682775
13-07-2003,1.042945651,-0.094157637
14-07-2003,-0.16799103,0.173212494
15-07-2003,-0.347693564,0.103276645
16-07-2003,-0.102217554,-0.083936244
17-07-2003,0.650653845,-0.199061411
18-07-2003,-0.37470767,0.050017806
19-07-2003,0.009362451,0.071536529
20-07-2003,-0.015302603,0.092517284
21-07-2003,0.210206459,-0.140960859
22-07-2003,1.676015361,-0.221118102
23-07-2003,0.445111732,0.555169825
24-07-2003,-0.456924515,0.705800885
25-07-2003,-0.446353778,0.711180566
26-07-2003,-0.438132094,0.237768663
27-07-2003,-0.440481146,-0.128049626
28-07-2003,-0.340646405,-0.247478538
29-07-2003,-0.076377974,-0.270073197
30-07-2003,0.33588078,-0.265769452
31-07-2003,0.319437411,-0.257161963
01-08-2003,-0.243160717,-0.227573719
02-08-2003,-0.024698814,-0.270611165
03-08-2003,1.30486503,-0.257699931
04-08-2003,0.240744145,0.045714061
05-08-2003,-0.110439238,0.409918446
06-08-2003,1.469298721,0.227009302
07-08-2003,0.185541405,0.173212494
08-08-2003,-0.448702831,0.980164602
09-08-2003,-0.379405775,1.206111192
10-08-2003,-0.449877357,0.162453133
11-08-2003,-0.351217143,-0.138808987
12-08-2003,1.508058091,-0.203365156
13-08-2003,1.115766285,0.21624994
14-08-2003,-0.368835038,0.264667067
15-08-2003,-0.433433988,0.227009302
16-08-2003,0.182017826,-0.100613254
17-08-2003,-0.352391669,-0.20497906
18-08-2003,-0.192656084,-0.242098857
19-08-2003,-0.196179663,-0.261465707
20-08-2003,-0.112788291,-0.264155548
21-08-2003,-0.276047455,-0.26361758
22-08-2003,-0.445179252,-0.25232025
23-08-2003,-0.370009565,-0.268459292
24-08-2003,-0.431084935,-0.29966144
25-08-2003,-0.226717348,-0.311496738
26-08-2003,-0.061109131,-0.321718131
27-08-2003,0.725823533,-0.328173748
28-08-2003,0.27128183,-0.332477493
29-08-2003,0.044598242,-0.295895664
30-08-2003,0.528503104,-0.291591919
31-08-2003,0.500314471,-0.29966144
01-09-2003,-0.143325976,-0.295357696
02-09-2003,-0.199703242,-0.308806898
03-09-2003,-0.163292925,-0.320104227
04-09-2003,-0.29718893,-0.326021876
05-09-2003,-0.458099042,-0.333553429
06-09-2003,0.603672791,-0.333015461
07-09-2003,-0.433433988,-0.330863589
08-09-2003,-0.456924515,-0.33893311
09-09-2003,-0.326552089,-0.342698886
10-09-2003,-0.429910409,-0.329787652
11-09-2003,-0.45222641,-0.347002631
12-09-2003,-0.397023671,-0.356686056
13-09-2003,0.804516799,-0.359375896
14-09-2003,-0.398198197,-0.350768407
15-09-2003,-0.458099042,-0.344850758
16-09-2003,-0.458099042,-0.354534184
17-09-2003,-0.455749989,-0.360451833
18-09-2003,-0.377056723,-0.365293545
19-09-2003,-0.458099042,-0.369059322
20-09-2003,-0.203226821,-0.37228713
21-09-2003,1.997835584,-0.371749162
22-09-2003,1.717123783,-0.334629365
23-09-2003,-0.458099042,-0.320104227
24-09-2003,-0.456924515,-0.340009046
25-09-2003,-0.313632299,-0.349692471
26-09-2003,-0.380580302,-0.35561012
27-09-2003,-0.106915659,-0.35829996
28-09-2003,-0.458099042,-0.363679641
29-09-2003,-0.458099042,-0.370135258
30-09-2003,-0.458099042,-0.373363066
01-10-2003,-0.458099042,-0.377666811
02-10-2003,-0.455749989,-0.379280715
03-10-2003,-0.458099042,-0.379818683
04-10-2003,-0.458099042,-0.379280715
05-10-2003,-0.441655673,-0.379280715
06-10-2003,-0.249033349,-0.379280715
07-10-2003,-0.007080918,-0.377666811
08-10-2003,-0.395849145,-0.374439002
09-10-2003,-0.224368295,-0.370673226
10-10-2003,1.448157246,-0.367983386
11-10-2003,-0.371184091,-0.364755577
12-10-2003,-0.455749989,-0.365831513
13-10-2003,-0.458099042,-0.345926695
14-10-2003,-0.451051884,-0.339471078
15-10-2003,-0.458099042,-0.35561012
16-10-2003,-0.458099042,-0.363679641
17-10-2003,-0.436957567,-0.368521354
18-10-2003,-0.456924515,-0.370673226
19-10-2003,-0.458099042,-0.37228713
20-10-2003,-0.458099042,-0.373363066
21-10-2003,-0.458099042,-0.37497697
22-10-2003,-0.458099042,-0.376590875
23-10-2003,-0.456924515,-0.376590875
24-10-2003,-0.40054725,-0.377128843
25-10-2003,0.62011616,-0.378204779
26-10-2003,1.294294293,-0.286750207
27-10-2003,-0.412292514,-0.303427217
28-10-2003,-0.458099042,-0.33893311
29-10-2003,-0.456924515,-0.349154503
30-10-2003,-0.458099042,-0.35829996
31-10-2003,-0.458099042,-0.364217609
01-11-2003,-0.458099042,-0.367445417
02-11-2003,-0.414641566,-0.369059322
03-11-2003,-0.458099042,-0.371211194
04-11-2003,-0.263127665,-0.37228713
05-11-2003,0.1808433,-0.357761992
06-11-2003,-0.45222641,-0.343236854
07-11-2003,-0.458099042,-0.343774822
08-11-2003,-0.458099042,-0.354534184
09-11-2003,-0.458099042,-0.359375896
10-11-2003,-0.445179252,-0.359913864
11-11-2003,-0.455749989,-0.363141673
12-11-2003,-0.451051884,-0.366907449
13-11-2003,-0.456924515,-0.370673226
14-11-2003,-0.458099042,-0.373363066
15-11-2003,-0.456924515,-0.37497697
16-11-2003,-0.272523876,-0.373901034
17-11-2003,-0.340646405,-0.37228713
18-11-2003,3.262800478,-0.350768407
19-11-2003,-0.408768935,-0.261465707
20-11-2003,-0.458099042,-0.268459292
21-11-2003,-0.458099042,-0.257161963
22-11-2003,-0.438132094,-0.289978015
23-11-2003,0.082183085,-0.323870004
24-11-2003,0.124466035,-0.328173748
25-11-2003,-0.458099042,-0.317414387
26-11-2003,0.691762268,-0.322794068
27-11-2003,4.528517068,0.926367795
28-11-2003,0.582531316,1.846293197
29-11-2003,-0.45222641,2.233630209
30-11-2003,-0.458099042,2.292806696
01-12-2003,-0.458099042,0.66814312
02-12-2003,-0.458099042,-0.04305067
03-12-2003,-0.226717348,-0.162479582
04-12-2003,-0.412292514,-0.214124517
05-12-2003,-0.458099042,-0.244788697
06-12-2003,-0.458099042,-0.26630742
07-12-2003,-0.458099042,-0.281370526
08-12-2003,-0.455749989,-0.291053951
09-12-2003,0.468602259,-0.296433632
10-12-2003,-0.170340083,-0.291053951
11-12-2003,-0.458099042,-0.28298443
12-12-2003,-0.455749989,-0.288364111
13-12-2003,1.071134284,-0.224883879
14-12-2003,-0.444004725,-0.16301755
15-12-2003,-0.456924515,-0.226497783
16-12-2003,-0.218495664,-0.240484953
17-12-2003,-0.458099042,-0.251782282
18-12-2003,-0.458099042,-0.279218654
19-12-2003,-0.458099042,-0.2969716
20-12-2003,-0.458099042,-0.309344866
21-12-2003,-0.458099042,-0.317414387
22-12-2003,-0.389976513,-0.322794068
23-12-2003,1.196808604,-0.314724546
24-12-2003,-0.458099042,-0.245326665
25-12-2003,-0.456924515,-0.215200453
26-12-2003,-0.458099042,-0.187764082
27-12-2003,-0.458099042,-0.244250729
28-12-2003,-0.326552089,-0.279218654
29-12-2003,3.171187422,-0.123207913
30-12-2003,-0.458099042,0.931747475
31-12-2003,-0.456924515,1.356742252
01-01-2004,-0.458099042,1.233009595
02-01-2004,-0.448702831,0.58744791
03-01-2004,-0.45222641,0.058625295
04-01-2004,-0.196179663,-0.047892383
05-01-2004,1.762930312,-0.063493457
06-01-2004,-0.458099042,0.436816849
07-01-2004,-0.458099042,1.173833108
08-01-2004,1.368289454,1.017822367
09-01-2004,0.152654667,0.463715253
10-01-2004,-0.458099042,0.81877418
11-01-2004,-0.458099042,0.770357054
12-01-2004,-0.458099042,0.280806109
13-01-2004,-0.456924515,0.041948285
14-01-2004,-0.45222641,-0.044126606
15-01-2004,-0.458099042,-0.090929829
16-01-2004,-0.458099042,-0.123207913
17-01-2004,1.651350307,-0.140960859
18-01-2004,-0.222019243,0.173212494
19-01-2004,-0.431084935,0.845672584
